;Relação dos municípios com as maiores proporções de população  autodeclarada indígena do País, por situação do domicílio - Unidades da Federação - 2010 ;;;;;;;;;;
;Código;Município;Total;;Código;Município;Urbana;;Código;Município;Rural
Rondônia;;;;;;;;;;;
1;1100106;Guajará-Mirim;9,6;;1100080;Costa Marques;2,8;;1100106;Guajará-Mirim;58,5
2;1100924;Chupinguaia;2,8;;1101468;Pimenteiras do Oeste;1,1;;1100122;Ji-Paraná;7,9
3;1101492;São Francisco do Guaporé;2,4;;1100924;Chupinguaia;0,8;;1100304;Vilhena;6,5
4;1100015;Alta Floresta D'Oeste;1,8;;1100015;Alta Floresta D'Oeste;0,7;;1100049;Cacoal;6,1
5;1100049;Cacoal;1,7;;1100106;Guajará-Mirim;0,6;;1100189;Pimenta Bueno;5,5
6;1100080;Costa Marques;1,6;;1100049;Cacoal;0,5;;1100924;Chupinguaia;4,4
7;1100338;Nova Mamoré;1,4;;1101492;São Francisco do Guaporé;0,4;;1101492;São Francisco do Guaporé;4,4
8;1101302;Mirante da Serra;1,4;;1101559;Teixeirópolis;0,4;;1100098;Espigão D'Oeste;4,1
9;1100098;Espigão D'Oeste;1,4;;1101807;Vale do Paraíso;0,4;;1100015;Alta Floresta D'Oeste;3,2
10;1100189;Pimenta Bueno;1,0;;1100155;Ouro Preto do Oeste;0,4;;1100338;Nova Mamoré;3,0
;;;;;;;;;;;
Acre;;;;;;;;;;;
1;1200435;Santa Rosa do Purus;53,8;;1200435;Santa Rosa do Purus;17,0;;1200435;Santa Rosa do Purus;78,7
2;1200328;Jordão;32,4;;1200328;Jordão;6,3;;1200328;Jordão;46,2
3;1200351;Marechal Thaumaturgo;10,1;;1200054;Assis Brasil;3,8;;1200336;Mâncio Lima;18,6
4;1200054;Assis Brasil;9,2;;1200609;Tarauacá;1,4;;1200054;Assis Brasil;17,5
5;1200336;Mâncio Lima;8,6;;1200336;Mâncio Lima;1,3;;1200302;Feijó;15,5
6;1200302;Feijó;8,1;;1200302;Feijó;1,0;;1200344;Manoel Urbano;15,5
7;1200393;Porto Walter;5,9;;1200351;Marechal Thaumaturgo;1,0;;1200351;Marechal Thaumaturgo;13,7
8;1200344;Manoel Urbano;5,7;;1200393;Porto Walter;0,9;;1200393;Porto Walter;8,7
9;1200609;Tarauacá;4,0;;1200104;Brasiléia;0,9;;1200609;Tarauacá;7,2
10;1200500;Sena Madureira;2,6;;1200500;Sena Madureira;0,9;;1200500;Sena Madureira;6,0
;;;;;;;;;;;
Amazonas;;;;;;;;;;;
1;1303809;São Gabriel da Cachoeira;76,6;;1303809;São Gabriel da Cachoeira;57,8;;1303809;São Gabriel da Cachoeira;95,5
2;1303601;Santa Isabel do Rio Negro;59,2;;1303601;Santa Isabel do Rio Negro;31,6;;1304062;Tabatinga;88,2
3;1303908;São Paulo de Olivença;47,7;;1300300;Autazes;20,1;;1303601;Santa Isabel do Rio Negro;76,0
4;1300201;Atalaia do Norte;41,4;;1303908;São Paulo de Olivença;15,6;;1303908;São Paulo de Olivença;74,3
5;1300409;Barcelos;32,5;;1300409;Barcelos;12,3;;1300201;Atalaia do Norte;70,7
6;1300060;Amaturá;31,9;;1303700;Santo Antônio do Içá;11,7;;1300607;Benjamin Constant;65,6
7;1300607;Benjamin Constant;29,4;;1300060;Amaturá;10,9;;1300060;Amaturá;55,0
8;1304062;Tabatinga;28,4;;1300201;Atalaia do Norte;6,3;;1300409;Barcelos;48,1
9;1303700;Santo Antônio do Içá;26,3;;1304237;Tonantins;6,1;;1303700;Santo Antônio do Içá;42,7
10;1300300;Autazes;21,4;;1300607;Benjamin Constant;5,6;;1302306;Jutaí;34,0
;;;;;;;;;;;
Roraima;;;;;;;;;;;
1;1400704;Uiramutã;88,1;;1400704;Uiramutã;56,9;;1400704;Uiramutã;93,0
2;1400407;Normandia;56,9;;1400407;Normandia;18,1;;1400456;Pacaraima;91,7
3;1400456;Pacaraima;55,4;;1400159;Bonfim;9,3;;1400407;Normandia;70,5
4;1400027;Amajari;53,8;;1400027;Amajari;8,7;;1400050;Alto Alegre;63,9
5;1400050;Alto Alegre;45,9;;1400456;Pacaraima;7,9;;1400027;Amajari;60,5
6;1400159;Bonfim;42,5;;1400100;Boa Vista;2,2;;1400159;Bonfim;59,5
7;1400282;Iracema;18,0;;1400050;Alto Alegre;1,8;;1400100;Boa Vista;38,0
8;1400175;Cantá;12,4;;1400175;Cantá;1,1;;1400282;Iracema;33,5
9;1400233;Caroebe;5,6;;1400233;Caroebe;0,5;;1400175;Cantá;14,6
10;1400506;São João da Baliza;4,3;;1400282;Iracema;0,5;;1400506;São João da Baliza;13,7
;;;;;;;;;;;
Pará;;;;;;;;;;;
1;1503754;Jacareacanga;41,4;;1503754;Jacareacanga;22,0;;1503754;Jacareacanga;51,9
2;1502764;Cumaru do Norte;11,5;;1501006;Aveiro;3,1;;1505437;Ourilândia do Norte;20,6
3;1501006;Aveiro;11,2;;1500602;Altamira;1,0;;1500602;Altamira;19,3
4;1505437;Ourilândia do Norte;5,8;;1506583;Santa Maria das Barreiras;0,8;;1502764;Cumaru do Norte;15,3
5;1501576;Bom Jesus do Tocantins;5,0;;1503606;Itaituba;0,7;;1501006;Aveiro;13,2
6;1505304;Oriximiná;4,9;;1502764;Cumaru do Norte;0,6;;1505304;Oriximiná;13,2
7;1505551;Pau D'Arco;4,6;;1505031;Novo Progresso;0,5;;1505551;Pau D'Arco;11,5
8;1500602;Altamira;3,7;;1502707;Conceição do Araguaia;0,4;;1501576;Bom Jesus do Tocantins;10,7
9;1507805;Senador José Porfírio;3,4;;1506138;Redenção;0,4;;1508100;Tucuruí;8,5
10;1501253;Bannach;3,0;;1500206;Acará;0,3;;1505536;Parauapebas;7,0
;;;;;;;;;;;
Amapá;;;;;;;;;;;
1;1600501;Oiapoque;27,2;;1600501;Oiapoque;3,1;;1600501;Oiapoque;77,2
2;1600154;Pedra Branca do Amapari;8,2;;1600402;Mazagão;0,4;;1600154;Pedra Branca do Amapari;18,3
3;1600402;Mazagão;0,2;;1600550;Pracuúba;0,2;;1600535;Porto Grande;0,2
4;1600279;Laranjal do Jari;0,2;;1600279;Laranjal do Jari;0,2;;1600238;Ferreira Gomes;0,2
5;1600303;Macapá;0,2;;1600204;Calçoene;0,2;;1600253;Itaubal;0,2
6;1600204;Calçoene;0,2;;1600303;Macapá;0,2;;1600204;Calçoene;0,1
7;1600535;Porto Grande;0,2;;1600212;Cutias;0,2;;1600600;Santana;0,1
8;1600238;Ferreira Gomes;0,2;;1600535;Porto Grande;0,1;;1600550;Pracuúba;0,1
9;1600550;Pracuúba;0,1;;1600238;Ferreira Gomes;0,1;;1600303;Macapá;0,0
10;1600253;Itaubal;0,1;;1600154;Pedra Branca do Amapari;0,1;;1600709;Tartarugalzinho;0,0
;;;;;;;;;;;
Tocantins;;;;;;;;;;;
1;1721109;Tocantínia;42,9;;1721109;Tocantínia;5,9;;1721109;Tocantínia;71,8
2;1711902;Lagoa da Confusão;17,1;;1706001;Couto Magalhães;1,2;;1711902;Lagoa da Confusão;45,0
3;1709005;Goiatins;13,5;;1716653;Pequizeiro;0,7;;1721208;Tocantinópolis;37,7
4;1710508;Itacajá;13,3;;1708205;Formoso do Araguaia;0,7;;1710508;Itacajá;33,1
5;1717503;Pium;9,2;;1709807;Ipueiras;0,6;;1709005;Goiatins;22,9
6;1721208;Tocantinópolis;7,4;;1716307;Pau D'Arco;0,6;;1717503;Pium;20,9
7;1708205;Formoso do Araguaia;5,9;;1716604;Peixe;0,6;;1708205;Formoso do Araguaia;19,6
8;1718865;Santa Fé do Araguaia;4,8;;1720259;São Salvador do Tocantins;0,6;;1718865;Santa Fé do Araguaia;13,3
9;1712801;Maurilândia do Tocantins;4,7;;1713205;Miracema do Tocantins;0,5;;1712801;Maurilândia do Tocantins;13,1
10;1720101;São Bento do Tocantins;0,6;;1715705;Palmeirante;0,5;;1720101;São Bento do Tocantins;1,4
;;;;;;;;;;;
Maranhão;;;;;;;;;;;
1;2105476;Jenipapo dos Vieiras;35,2;;2104800;Grajaú;3,2;;2105476;Jenipapo dos Vieiras;41,8
2;2104081;Fernando Falcão;26,4;;2100600;Amarante do Maranhão;1,7;;2104081;Fernando Falcão;31,5
3;2100600;Amarante do Maranhão;13,4;;2105476;Jenipapo dos Vieiras;1,4;;2100600;Amarante do Maranhão;21,1
4;2107001;Montes Altos;9,1;;2105351;Itaipava do Grajaú;1,0;;2107001;Montes Altos;19,7
5;2100956;Arame;7,9;;2101608;Barra do Corda;0,8;;2106375;Maranhãozinho;16,7
6;2105351;Itaipava do Grajaú;6,8;;2102903;Carutapera;0,6;;2100956;Arame;12,8
7;2104800;Grajaú;6,7;;2100956;Arame;0,5;;2104800;Grajaú;11,7
8;2106375;Maranhãozinho;6,0;;2109239;Presidente Médici;0,4;;2101608;Barra do Corda;9,6
9;2101608;Barra do Corda;4,1;;2100204;Alcântara;0,4;;2105351;Itaipava do Grajaú;9,3
10;2102036;Bom Jesus das Selvas;3,5;;2109007;Porto Franco;0,3;;2102036;Bom Jesus das Selvas;6,6
;;;;;;;;;;;
Piauí;;;;;;;;;;;
1;2208650;Queimada Nova;2,2;;2202752;Colônia do Gurguéia;0,7;;2208650;Queimada Nova;2,5
2;2202752;Colônia do Gurguéia;0,6;;2203909;Floriano;0,4;;2202778;Colônia do Piauí;0,6
3;2202778;Colônia do Piauí;0,4;;2209500;Santo Inácio do Piauí;0,4;;2200103;Agricolândia;0,5
4;2203909;Floriano;0,4;;2205300;Jerumenha;0,4;;2210003;São João do Piauí;0,5
5;2201903;Bom Jesus;0,3;;2210607;São Raimundo Nonato;0,3;;2201903;Bom Jesus;0,4
6;2209500;Santo Inácio do Piauí;0,2;;2210805;Simplício Mendes;0,3;;2201705;Bertolínia;0,4
7;2210607;São Raimundo Nonato;0,2;;2207405;Palmeira do Piauí;0,3;;2203206;Curimatá;0,3
8;2210003;São João do Piauí;0,2;;2204402;Gilbués;0,3;;2205953;Marcolândia;0,3
9;2205300;Jerumenha;0,2;;2201903;Bom Jesus;0,3;;2206704;Nazaré do Piauí;0,3
10;2204402;Gilbués;0,2;;2208205;Pio IX;0,2;;2206308;Miguel Leão;0,3
;;;;;;;;;;;
