measure_id,measure_name,ibge_code,muni_name,state_id,state,cause_id,cause_name,sex_id,sex,age_id,age_name,year,metric,mx,lower,upper
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,1,Male,27,Age-standardized,2001,Rate,7.695492891,4.453640697,12.2513554
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,1,Male,27,Age-standardized,2002,Rate,7.283928228,4.258122603,11.65163014
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,1,Male,27,Age-standardized,2003,Rate,7.184633856,4.267705171,11.41794208
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,1,Male,27,Age-standardized,2004,Rate,6.805174995,3.950295935,10.86008835
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,1,Male,27,Age-standardized,2005,Rate,6.45587877,3.784709155,10.15654368
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,1,Male,27,Age-standardized,2006,Rate,5.902020428,3.472604077,9.309512613
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,1,Male,27,Age-standardized,2007,Rate,5.659455088,3.285827702,8.936782808
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,1,Male,27,Age-standardized,2008,Rate,5.319391117,3.046307806,8.56972727
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,1,Male,27,Age-standardized,2009,Rate,4.862163003,2.787170292,7.985508171
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,1,Male,27,Age-standardized,2010,Rate,4.920248804,2.766511968,7.967117568
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,1,Male,27,Age-standardized,2011,Rate,4.463413775,2.462888816,7.421401421
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,1,Male,27,Age-standardized,2012,Rate,4.272356951,2.320847779,7.220042861
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,1,Male,27,Age-standardized,2013,Rate,4.340533514,2.321639073,7.453334771
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,1,Male,27,Age-standardized,2014,Rate,4.304856412,2.198132867,7.752825291
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,1,Male,27,Age-standardized,2015,Rate,4.18779229,2.077270555,7.64747858
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,2,Female,27,Age-standardized,2001,Rate,6.084876911,3.456716157,9.910056158
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,2,Female,27,Age-standardized,2002,Rate,5.671950057,3.106881817,9.081031616
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,2,Female,27,Age-standardized,2003,Rate,5.28050916,2.916922729,8.626484085
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,2,Female,27,Age-standardized,2004,Rate,4.801519591,2.611187454,7.97871835
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,2,Female,27,Age-standardized,2005,Rate,4.380747588,2.439935439,7.167102756
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,2,Female,27,Age-standardized,2006,Rate,4.019231448,2.193971994,6.576015294
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,2,Female,27,Age-standardized,2007,Rate,3.833180502,2.050388562,6.387651493
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,2,Female,27,Age-standardized,2008,Rate,3.762901186,2.038709538,6.275019773
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,2,Female,27,Age-standardized,2009,Rate,3.364407397,1.793182583,5.757604194
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,2,Female,27,Age-standardized,2010,Rate,3.114453476,1.641000255,5.261859564
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,2,Female,27,Age-standardized,2011,Rate,2.88984519,1.511661837,4.888153613
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,2,Female,27,Age-standardized,2012,Rate,2.754110519,1.4345064,4.772325141
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,2,Female,27,Age-standardized,2013,Rate,2.739550965,1.378645873,4.766403923
1,Deaths,130002,Alvaraes,4752,Amazonas,297,Tuberculosis,2,Female,27,Age-standardized,2014,Rate,2.700241769,1.339646368,4.922005057
